institution,period,euro,doi,journal_full_title,publisher,is_hybrid,issn,url,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related
Swiss National Science Foundation (SNSF),2021-04-16,2518.016453382084,10.3389/fmicb.2021.586886,Frontiers in Microbiology,Frontiers Media SA,FALSE,NA,NA,2754.71,1.094,107284 - 10239 - 16.04.2021,31AC-0_204306,170207
Swiss National Science Foundation (SNSF),2021-04-16,2664.5338208409503,10.3389/fpsyg.2020.592638,Frontiers in Psychology,,FALSE,1664-1078,NA,2915,1.094,107279 - 10669 - 16.04.2021,CRAC-1_204494,166043
Swiss National Science Foundation (SNSF),2021-04-16,2935.1005484460693,10.1038/s42005-021-00555-x,communications physics,Springer Nature,FALSE,2399-3650,NA,3211,1.094,107278 - 10179 - 16.04.2021,20AC-1_204414,182035
Swiss National Science Foundation (SNSF),2021-04-16,3115.5118829981716,10.1172/jci.insight.143940,JCI Insight, American Society for Clinical Investigation (ASCI),FALSE,NA,NA,3408.37,1.094,107296 - 12126 - 16.04.2021,31AC-0_204301,141067
Swiss National Science Foundation (SNSF),2021-04-16,3455.009140767824,NA,Physical Review X,American Physical Society,NA,NA,NA,3779.78,1.094,107275 - 11619 - 16.04.2021,20AC-1_204312,188532
Swiss National Science Foundation (SNSF),2021-04-15,532.9067641681901,10.3389/fbinf.2021.638255,Frontiers in Bioinformatics,Frontiers Media SA,TRUE,2673-7647,NA,583,1.094,107218 - 10679 - 15.04.2021,PPAC-3_204242,170664
Swiss National Science Foundation (SNSF),2021-04-15,1575.1371115173674,10.3390/ijms22083828,International Journal of Molecular Sciences,MDPI,FALSE,NA,NA,1723.2,1.094,107215 - 10415 - 15.04.2021,CRAC-5_204246,180257
Swiss National Science Foundation (SNSF),2021-04-15,1850.0914076782449,10.1038/s41598-021-88003-2,Scientific Reports,,FALSE,NA,NA,2024,1.094,107213 - 10859 - 15.04.2021,31AC-0_204243,"169480, 188447"
Swiss National Science Foundation (SNSF),2021-04-15,2653.5648994515536,10.3389/fneur.2021.633808,Frontiers in Neurology,,FALSE,1664-2295,NA,2903,1.094,107216 - 10669 - 15.04.2021,32AC-0_204522,173292
Swiss National Science Foundation (SNSF),2021-04-15,2711.901279707495,10.3389/fpsyg.2021.659020,Frontiers,,FALSE,NA,NA,2966.82,1.094,107211 - 10239 - 15.04.2021,10AC-D_204245,156521
Swiss National Science Foundation (SNSF),2021-04-15,2933.8756855575866,10.26434/chemrxiv.12593429,Communications Chemistry,Springer Nature,FALSE,NA,NA,3209.66,1.094,107212 - 10859 - 15.04.2021,20AC-1_204142,182043
Swiss National Science Foundation (SNSF),2021-04-15,4574.08592321755,10.15252/msb.202010026,Molecular Systems Biology,,FALSE,NA,NA,5004.05,1.094,107214 - 10764 - 15.04.2021,31AC-0_204487,185376
Swiss National Science Foundation (SNSF),2021-04-15,5018.281535648995,10.1038/s41467-021-22718-8,Nature Communications,Springer Nature,FALSE,NA,NA,5490,1.094,107217 - 10202 - 15.04.2021,CRAC-2_204485,166110
Swiss National Science Foundation (SNSF),2021-04-14,1497.2577696526507,10.36900/suburban(10.36900/suburban.v9i1.603),s u b \ u r b a n. zeitschrift für kritische stadtforschung,,FALSE, 2197-256,NA,1638,1.094,107209 - 12122 - 14.04.2021,10AC--_204087,169370
Swiss National Science Foundation (SNSF),2021-04-13,781.5356489945154,10.3389/fspor.2020.556195,Frontiers in Sports and Active Living ,,FALSE,NA,NA,855,1.094,107202 - 12114 - 13.04.2021,10AC--_202811,156278
Swiss National Science Foundation (SNSF),2021-04-13,1948.6197440585008,10.1016/j.arrct.2021.100121,Archives of Rehabilitation Research and Clinical Translation,Elsevier,FALSE,NA,NA,2131.79,1.094,107201 - 10822 - 13.04.2021,40AC-0_204015,167412
Swiss National Science Foundation (SNSF),2021-04-13,4745.822669104205,NA,Nature Communications,,NA,NA,NA,5191.93,1.094,107203 - 12115 - 13.04.2021,P4AC-3_204031,"180773, 168920"
Swiss National Science Foundation (SNSF),2021-04-09,457.8793418647166,10.1186/s12052-021-00143-1,Evolution: Education & Outreach,Springer Nature,FALSE,NA,NA,500.92,1.094,107173 - 10783 - 09.04.2021,31AC-0_204138,165826
Swiss National Science Foundation (SNSF),2021-04-09,937.6234003656307,10.1186/s12983-021-00406-z,Frontiers in Zoology,Springer Nature,FALSE,NA,NA,1025.76,1.094,107168 - 10752 - 09.04.2021,31AC-0_204059,169395
Swiss National Science Foundation (SNSF),2021-04-09,937.6234003656307,10.1186/s12917-020-02704-w,BMC Veterinary Research,BMC ,FALSE,1746-6148,NA,1025.76,1.094,107174 - 10752 - 09.04.2021,40AC-0_204086,167054
Swiss National Science Foundation (SNSF),2021-04-09,1575.1371115173674,10.3390/molecules26072025,Molecules,mdpi,FALSE,NA,NA,1723.2,1.094,107180 - 10415 - 09.04.2021,PPAC-3_204133,163966
Swiss National Science Foundation (SNSF),2021-04-09,1575.4478976234002,10.5194/bg-18-2221-2021,Biogeosciences,,FALSE,1726-4189,NA,1723.54,1.094,107179 - 10754 - 09.04.2021,PPAC-2_204136,170687
Swiss National Science Foundation (SNSF),2021-04-09,1673.583180987203,NA,Toxins,MDPI,NA,NA,NA,1830.9,1.094,107171 - 10415 - 09.04.2021,31AC-0_204089,"160038, 189083"
Swiss National Science Foundation (SNSF),2021-04-09,1687.3857404021937,NA,Scientific Reports,Springer Nature,NA,NA,NA,1846,1.094,107167 - 10202 - 09.04.2021,20AC-1_204085,160184
Swiss National Science Foundation (SNSF),2021-04-09,1862.0201096892138,10.1038/s41598-021-87475-6,Scientific Reports,Springer Nature ,FALSE,NA,NA,2037.05,1.094,107182 - 10859 - 09.04.2021,20AC-1_204193,184940
Swiss National Science Foundation (SNSF),2021-04-09,1862.0292504570382,10.1038/s41598-021-87620-1,Scientific Reports,springer nature,FALSE,NA,NA,2037.06,1.094,107185 - 10859 - 09.04.2021,PZAC-1_204192,179988
Swiss National Science Foundation (SNSF),2021-04-09,1968.9213893967092,10.3389/ijph.2021.635508,International Journal of Public Health,,FALSE,NA,NA,2154,1.094,107175 - 10239 - 09.04.2021,40AC-0_204128,167465
Swiss National Science Foundation (SNSF),2021-04-09,2032.8062157221204,10.1101/666859,BMC Bioinformatics,Springer Nature,TRUE,NA,NA,2223.89,1.094,107172 - 10752 - 09.04.2021,31AC-0_204127,163423
Swiss National Science Foundation (SNSF),2021-04-09,2049.323583180987,10.1038/s41535-021-00342-5,npj Quantum Materials,Springer Nature Limited,FALSE,2397-4648,NA,2241.96,1.094,107184 - 10859 - 09.04.2021,CRAC-5_204191,171003
Swiss National Science Foundation (SNSF),2021-04-09,2099.232175502742,NA,Brain and Behavior,Wiley,NA,NA,NA,2296.56,1.094,107176 - 10764 - 09.04.2021,CRAC-1_204055,166416
Swiss National Science Foundation (SNSF),2021-04-09,2170.9323583180985,10.7554/eLife.62813,eLife,eJournalPress,FALSE,NA,NA,2375,1.094,107177 - 10012 - 09.04.2021,PDAC-3_204091,137136
Swiss National Science Foundation (SNSF),2021-04-09,2180.2376599634367,10.1371/journal.ppat.1009422,PLOS Pathogens,PLOS,FALSE,NA,NA,2385.18,1.094,107170 - 10850 - 09.04.2021,31AC-0_204084,173180
Swiss National Science Foundation (SNSF),2021-04-09,2770.767824497257,10.3389/fonc.2021.664304,Frontiers in Oncology,,FALSE,NA,NA,3031.22,1.094,107183 - 10239 - 09.04.2021,31AC-0_204206,173303
Swiss National Science Foundation (SNSF),2021-04-09,4634.26873857404,10.1038/s41467-021-22825-6,Nature Communications,Springer Nature,FALSE,NA,NA,5069.89,1.094,107178 - 10859 - 09.04.2021,PMAC-2_204137,173897
Swiss National Science Foundation (SNSF),2021-04-09,4991.106032906764,NA,Nature Communications,,NA,NA,NA,5460.27,1.094,107181 - 10859 - 09.04.2021,PRAC-3_204082,179727
Swiss National Science Foundation (SNSF),2021-04-08,2465.420475319927,10.1093/molbev/msab098,Molecular Biology and Evolution,,TRUE,1537-1719,NA,2697.17,1.094,107867 - 10849 - 08.04.2021,PPAC-3_205772,183723
Swiss National Science Foundation (SNSF),2021-04-01,1279.798903107861,10.20944/preprints202103.0157.v1,MDPI Crystals,MDPI,TRUE,NA,NA,1400.1,1.094,107061 - 10415 - 01.04.2021,20AC-1_204028,169465
Swiss National Science Foundation (SNSF),2021-04-01,2142.230347349177,NA,PLOS Genetics,PLOS,NA,NA,NA,2343.6,1.094,107062 - 10669 - 01.04.2021,31AC-0_204024,166322
Swiss National Science Foundation (SNSF),2021-04-01,4028.382348797355,10.12688/f1000research,F1000Research,,FALSE,2046-1402,NA,4360.58,1.094; 1.0705; 1.0705; 1.094,107063 - 10565 - 01.04.2021; 100235 - 10829 - 31.01.2020; 102186 - 10829 - 03.07.2020; 107160 - 10675 - 09.04.2021,31AC-0_204027; PPAC-3_194069; PPAC-3_198836; 31AC-0_204141,188888; 183723; 183723; 196190
Swiss National Science Foundation (SNSF),2021-03-30,2174.5886654478973,NA,eLife,eLife Sciences Publications Ltd,NA,NA,NA,2379,1.094,107022 - 10179 - 30.03.2021,31AC-0_203888,169377
Swiss National Science Foundation (SNSF),2021-03-29,1162.8519195612432,10.1186/s40359-021-00553-2,BMC Psychology,Biomed Central Limited,FALSE,NA,NA,1272.16,1.094,107016 - 10752 - 29.03.2021,PPAC-3_204001,"190084, 185897, 163859"
Swiss National Science Foundation (SNSF),2021-03-29,1493.0255941499083,10.5194/bg-18-2119-2021,Biogeosciences,,FALSE,1726-4189,NA,1633.37,1.094,107015 - 10754 - 29.03.2021,PPAC-2_204002,170687
Swiss National Science Foundation (SNSF),2021-03-29,1919.579524680073,10.1186/s13098-021-00650-7,Diabetology & Metabolic Syndrome,Biomed Central ,FALSE,NA,NA,2100.02,1.094,107014 - 10752 - 29.03.2021,32AC-0_204003,176119
Swiss National Science Foundation (SNSF),2021-03-29,2925.0457038391223,10.1080/09638288.2021.1881171,Disability and Rehabilitation,,TRUE,1464-5165,NA,3200,1.094,107008 - 10912 - 29.03.2021,32AC-0_203895,156646
Swiss National Science Foundation (SNSF),2021-03-26,1240.4204753199267,10.3390/cryst11040325,Crystals,MDPI,FALSE,NA,NA,1357.02,1.094,106970 - 10415 - 26.03.2021,20AC-1_203887,182559
Swiss National Science Foundation (SNSF),2021-03-26,1662.5502742230346,NA,Environmental Research Letters,,NA,NA,NA,1818.83,1.094,106968 - 10835 - 26.03.2021,PZAC-2_203883,174124
Swiss National Science Foundation (SNSF),2021-03-26,1769.6069469835465,10.3389/fnmol.2021.656000_Neuhauss,Frontiers in Molecular Neuroscience,Frontiers Media SA,FALSE,NA,NA,1935.95,1.094,106972 - 10239 - 26.03.2021,31AC-0_203891,173083
Swiss National Science Foundation (SNSF),2021-03-26,2956.2797074954296,10.1161/HYPERTENSIONAHA.120.16025,Hypertension ,Wolters Kluwer,TRUE,NA,NA,3234.17,1.094,106971 - 11765 - 26.03.2021,33AC-0_203890,177520
Swiss National Science Foundation (SNSF),2021-03-26,3856.0146252285185,NA,Science Advances,,NA,NA,NA,4218.48,1.094,106973 - 10815 - 26.03.2021,31AC-0_203894,173542
Swiss National Science Foundation (SNSF),2021-03-26,4082.0840950639854,NA,Angewandte Chemie Int. Ed.,,NA,NA,NA,4465.8,1.094,106969 - 10764 - 26.03.2021,31AC-0_203886,192566
Swiss National Science Foundation (SNSF),2021-03-23,1105.3930530164532,10.23919/JCN.2020.000037,Journal of Communications and Networks (JCN) ,KICS (The Korean Institute of Communications and Information Sciences),FALSE,NA,NA,1209.3,1.094,106949 - 12030 - 23.03.2021,IZAC-0_202368,187690
Swiss National Science Foundation (SNSF),2021-03-23,1519.5155393053014,10.1099/mgen.0.000558,Microbial Genomics,Microbiology Society,FALSE,NA,NA,1662.35,1.094,106941 - 10815 - 23.03.2021,IZAC-0_203811,170941
Swiss National Science Foundation (SNSF),2021-03-23,1575.1371115173674,10.3390/ijms22063281,International Journal of Molecular Sciences,MDPI,FALSE,NA,NA,1723.2,1.094,106939 - 10415 - 23.03.2021,31AC-0_203807,173006
Swiss National Science Foundation (SNSF),2021-03-23,1732.650822669104,10.3390/v13030528,Viruses,MDPI,FALSE,NA,NA,1895.52,1.094,106936 - 10415 - 23.03.2021,31AC-0_203847,182464
Swiss National Science Foundation (SNSF),2021-03-23,2059.378427787934,10.1101/2020.11.03.367128,Ecology and Evolution,Wiley,FALSE,NA,NA,2252.96,1.094,106945 - 10764 - 23.03.2021,P2AC-3_203768,181775
Swiss National Science Foundation (SNSF),2021-03-23,2109.689213893967,10.7554/eLife.62073,eLife,,FALSE,2050-084X,NA,2308,1.094,106931 - 10679 - 23.03.2021,31AC-0_203838,146694
Swiss National Science Foundation (SNSF),2021-03-23,2142.230347349177,10.7554/eLife.66488,Journal,eLife Sciences Publications Ltd,FALSE,2633-8823,NA,2343.6,1.094,106932 - 10821 - 23.03.2021,31AC-0_203840,172968
Swiss National Science Foundation (SNSF),2021-03-23,2367.4588665447895,10.1088/1361-6463/abedfd,J. Phys. D: Applied Physics,IOP,FALSE,NA,NA,2590,1.094,106933 - 10674 - 23.03.2021,20AC-1_203844,172641
Swiss National Science Foundation (SNSF),2021-03-23,2722.4771480804384,10.3389/feart.2021.604520,Frontiers in Earth Science-Paleontology,Frontiers Media SA,FALSE,NA,NA,2978.39,1.094,106937 - 10239 - 23.03.2021,PZAC-2_203381,174040
Swiss National Science Foundation (SNSF),2021-03-23,2722.4771480804384,10.3389/feart.2021.612436,Frontiers in Earth Science-Geochemistry,Frontiers,FALSE,NA,NA,2978.39,1.094,106942 - 10239 - 23.03.2021,20AC-1_203816,"147674, 172550"
Swiss National Science Foundation (SNSF),2021-03-23,2945.5850091407674,NA,Communications Chemistry,Springer Nature Limited,NA,NA,NA,3222.47,1.094,106938 - 10859 - 23.03.2021,20AC-1_203805,159690
Swiss National Science Foundation (SNSF),2021-03-23,2959.5155393053014,10.1101/2020.10.13.337378,Human Brain Mapping,Wiley,FALSE,NA,NA,3237.71,1.094,106943 - 10764 - 23.03.2021,P0AC-1_203808,172268
Swiss National Science Foundation (SNSF),2021-03-23,3723.0347349177327,10.1093/femsre/fuaa071,FEMS Microbiology Reviews,,TRUE,1574-6976,NA,4073,1.094,106935 - 10565 - 23.03.2021,31AC-0_203846,188888
Swiss National Science Foundation (SNSF),2021-03-23,3822.669104204753,10.1016/j.rser.2020.110410,Renewable and Sustainable Energy Reviews,,TRUE,NA,NA,4182,1.094,106934 - 10202 - 23.03.2021,40AC-0_203845,173808
Swiss National Science Foundation (SNSF),2021-03-23,2190.0455714879763,10.7554/eLife.53990,eLife,,FALSE,2050-084X,NA,2347,1.094; 1.0705; 1.094,106940 - 10674 - 23.03.2021; No voucher number found; No voucher number found,31AC-0_202169; 31AC-0_202169; 31AC-0_202169,179418; 179418; 179418
Swiss National Science Foundation (SNSF),2021-03-22,1890.164533820841,10.1101/2021.01.29.21250725,Nutrients,MDPI,FALSE,NA,NA,2067.84,1.094,106927 - 10415 - 22.03.2021,PZAC-3_203802,167826
Swiss National Science Foundation (SNSF),2021-03-22,2527.8336380255937,10.3389/fphys.2021.665476,Frontiers in Physiology-Chronobiology,Frontiers,FALSE,NA,NA,2765.45,1.094,106925 - 10239 - 22.03.2021,31AC-0_203803,184667
Swiss National Science Foundation (SNSF),2021-03-22,2722.4771480804384,NA,Frontiers in Genetics,Frontiers Media SA,NA,NA,NA,2978.39,1.094,106926 - 10239 - 22.03.2021,CRAC-5_203801,180350
Swiss National Science Foundation (SNSF),2021-03-19,2050.0822669104205,NA,npj Quantum Materials,,NA,NA,NA,2242.79,1.094,106923 - 10859 - 19.03.2021,BSAC-0_203781,155873
Swiss National Science Foundation (SNSF),2021-03-18,1023.3912248628883,10.1515/anona-2020-0177,Advances in Nonlinear Analysis,De Gruyter Poland,FALSE,NA,NA,1119.59,1.094,106904 - 10815 - 18.03.2021,P4AC-2_203746,183866
Swiss National Science Foundation (SNSF),2021-03-18,1574.9542961608774,10.3390/genes12030396,Genes,MDPI,FALSE,2073-4425,NA,1723,1.094,106902 - 10670 - 18.03.2021,51AC-0_203790,182880
Swiss National Science Foundation (SNSF),2021-03-18,1575.1371115173674,10.3390/en14041184,Energies,MDPI,FALSE,NA,NA,1723.2,1.094,106899 - 10188 - 18.03.2021,20AC-1_203775,165978
Swiss National Science Foundation (SNSF),2021-03-18,1673.583180987203,10.3390/nu13030768,nutrients,,FALSE,NA,NA,1830.9,1.094,106900 - 10415 - 18.03.2021,33AC-0_203777,177535
Swiss National Science Foundation (SNSF),2021-03-18,2718.0621572212062,10.3389/fpsyg.2021.619493,Frontiers in Psychology,Frontiers,FALSE,NA,NA,2973.56,1.094,106903 - 10239 - 18.03.2021,51AC-0_203791,142020
Swiss National Science Foundation (SNSF),2021-03-18,3206.581352833638,10.1126/sciadv.abc3781,Science Advances,,FALSE,2375-2548,NA,3508,1.094,106905 - 10179 - 18.03.2021,IZAC-0_203793,164194
Swiss National Science Foundation (SNSF),2021-03-18,4992.934186471663,NA,Mature Communications,Springer Nature,NA,NA,NA,5462.27,1.094,106898 - 10859 - 18.03.2021,31AC-0_203778,"162743, 179431"
Swiss National Science Foundation (SNSF),2021-03-18,4992.934186471663,10.1038/s41467-021-22190-4,Nature Communications,Spronger Nature Limited,FALSE,NA,NA,5462.27,1.094,106901 - 10859 - 18.03.2021,51AC-0_203776,182895
Swiss National Science Foundation (SNSF),2021-03-17,409.3601462522851,10.4436/JASS.98020,Journal of Anthropological Sciences,,FALSE,NA,NA,447.84,1.094,106824 - 11995 - 17.03.2021,31AC-0_203764,"176319, 156299"
Swiss National Science Foundation (SNSF),2021-03-17,551.2797074954296,10.3390/fi13030059,Future Internet,MDPI,FALSE,1999-5903,NA,603.1,1.094,106874 - 11391 - 17.03.2021,10AC-D_203742,150327
Swiss National Science Foundation (SNSF),2021-03-17,1580.9689213893964,NA,Ecology and Evolution,Wiley,NA,NA,NA,1729.58,1.094,106870 - 11164 - 17.03.2021,P4AC-3_203761,191139
Swiss National Science Foundation (SNSF),2021-03-17,1601.928702010969,10.1101/2020.01.09.20017103,JMIR Public Health and Surveillance,,TRUE,NA,NA,1752.51,1.094,106872 - 10978 - 17.03.2021,PPAC-3_203743,163878
Swiss National Science Foundation (SNSF),2021-03-17,1715.722120658135,10.1136/bmjopen-2020-040959,BMJ Open,,FALSE,2044-6055,NA,1877,1.094,106849 - 10126 - 17.03.2021,33AC-0_202519,177535
Swiss National Science Foundation (SNSF),2021-03-17,2309.0950639853745,NA,BMC Medical Research Methodology,Biomed Central,NA,NA,NA,2526.15,1.094,106873 - 10752 - 17.03.2021,32AC-0_203744,176233
Swiss National Science Foundation (SNSF),2021-03-17,4992.934186471663,NA,Nature Communications,Nature,NA,NA,NA,5462.27,1.094,106871 - 10859 - 17.03.2021,PZAC-1_203696,150812
Swiss National Science Foundation (SNSF),2021-03-16,1422.3034734917733,10.3390/ma13235456,Materials,MDPI,FALSE,1996-1944,NA,1556,1.094,106813 - 11994 - 16.03.2021,IZAC-0_203767,180590
Swiss National Science Foundation (SNSF),2021-03-16,1842.1023765996342,10.1002/ece3.7452,Ecology and Evolution,Wiley,FALSE,NA,NA,2015.26,1.094,106809 - 10764 - 16.03.2021,31AC-0_203765,110250
Swiss National Science Foundation (SNSF),2021-03-16,2138.7568555758685,10.7554/eLife.62709,eLife,,FALSE,2050-084X,NA,2339.8,1.094,106814 - 10821 - 16.03.2021,PMAC-3_203756,151301
Swiss National Science Foundation (SNSF),2021-03-16,2335.5210237659962,10.1128/mBio.00390-21,mBio,Amercan Society for Microbiology (ASM),FALSE,NA,NA,2555.06,1.094,106811 - 11679 - 16.03.2021,31AC-0_203762,"173255, 153446"
Swiss National Science Foundation (SNSF),2021-03-16,4992.925045703839,10.26434/chemrxiv.13200197,Nature Communications,SpringerNature,FALSE,NA,NA,5462.26,1.094,106810 - 10859 - 16.03.2021,51AC-0_203763,"182892, 172759"
Swiss National Science Foundation (SNSF),2021-03-15,748.5557586837293,10.29392/001c.21403,Journal of Global Health Reports,Inishmore Laser Scientific Publishing Ltd,FALSE,NA,NA,818.92,1.094,106803 - 11990 - 15.03.2021,31AC-0_203752,196615
Swiss National Science Foundation (SNSF),2021-03-15,1787.5685557586835,NA,Scientific Reports,Springer Nature,NA,NA,NA,1955.6,1.094,106802 - 10906 - 15.03.2021,P2AC-2_203759,175028
Swiss National Science Foundation (SNSF),2021-03-15,1837.2943327239486,10.1038/s41598-021-85583-x,Scientific Reports,Springer Nature,FALSE,NA,NA,2010,1.094,106800 - 10674 - 15.03.2021,31AC-0_203758,149956
Swiss National Science Foundation (SNSF),2021-03-15,2281.535648994515,10.1128/mBio.03482-20,mBio,,FALSE,2150-7511,NA,2496,1.094,106799 - 10669 - 15.03.2021,31AC-0_203757,185372
Swiss National Science Foundation (SNSF),2021-03-15,2744.4606946983545,NA,npj 2D Materials and Applications,,NA,NA,NA,3002.44,1.094,106801 - 10859 - 15.03.2021,P2AC-2_203754,174952
Swiss National Science Foundation (SNSF),2021-03-12,508.08957952468006,10.1186/s12968-021-00717-4,Journal of Cardiovascular Magnetic Resonance,Springer Nature,FALSE,NA,NA,555.85,1.094,106779 - 10752 - 12.03.2021,32AC-0_203724,173129
Swiss National Science Foundation (SNSF),2021-03-12,1665.1462522851918,10.1101/2020.09.09.288886,Evolution Letters,Wiley,FALSE,2056-3744,NA,1821.67,1.094,106780 - 10764 - 12.03.2021,31AC-0_203723,185327
Swiss National Science Foundation (SNSF),2021-03-12,1694.6983546617914,10.1101/2020.06.05.20123026,BMJ Open,BMJ Publishing Group,FALSE,NA,NA,1854,1.094,106789 - 10670 - 12.03.2021,31AC-0_203682,174281
Swiss National Science Foundation (SNSF),2021-03-12,1867.3948811700182,NA,Scientific Reports,,NA,NA,NA,2042.93,1.094,106782 - 10859 - 12.03.2021,32AC-0_203722,176222
Swiss National Science Foundation (SNSF),2021-03-12,2144.2413162705666,10.1097/pr9.0000000000000917,PAIN Reports,,FALSE,NA,NA,2345.8,1.094,106781 - 11765 - 12.03.2021,10AC--_203679,175965
Swiss National Science Foundation (SNSF),2021-03-12,2725.027422303473,NA,Front. Cell Dev. Biol.,Frontiers Media SA,NA,NA,NA,2981.18,1.094,106783 - 10239 - 12.03.2021,31AC-0_203677,173003
Swiss National Science Foundation (SNSF),2021-03-12,2975.3107861060325,10.1002/hbm.25411,Human Brain Mapping,,FALSE,NA,NA,3254.99,1.094,106788 - 10764 - 12.03.2021,PPAC-1_203674,"183709, 150492"
Swiss National Science Foundation (SNSF),2021-03-12,3231.800731261426,10.1101/2020.06.25.171090,Journal of Cell Science,,FALSE,1477-9137,NA,3535.59,1.094,106785 - 10815 - 12.03.2021,31AC-0_203675,179454
Swiss National Science Foundation (SNSF),2021-03-12,3430.786106032907,10.1101/2020.04.06.027599,Development,,FALSE,1477-9129,NA,3753.28,1.094,106786 - 10669 - 12.03.2021,31AC-0_203676,192659
Swiss National Science Foundation (SNSF),2021-03-12,4851.919561243144,10.1038/s41467-021-20968-0,Nature Communications,Springer Nature,FALSE,2041-1723,NA,5308,1.094,106790 - 10202 - 12.03.2021,20AC-1_203680,172775
Swiss National Science Foundation (SNSF),2021-03-11,893.6471663619743,10.1039/d1ra00783a,RSC Advances,Royal Society of Chemistry,FALSE,NA,NA,977.65,1.094,106748 - 10853 - 11.03.2021,PZAC-2_203678,142474
Swiss National Science Foundation (SNSF),2021-03-11,2599.63436928702,10.3389/fpsyg.2020.592509,Frontiers in Psychology,,FALSE,1664-1078,NA,2844,1.094,106735 - 10678 - 11.03.2021,P0AC-1_202513,165256
Swiss National Science Foundation (SNSF),2021-03-10,984.4606946983546,10.3390/app11052132,Applied Sciences,,FALSE,2076-3417,NA,1077,1.094,106728 - 10415 - 10.03.2021,CRAC-5_203601,180352
Swiss National Science Foundation (SNSF),2021-03-10,984.4606946983546,10.3390/ijms21249423,International Journal of Molecular Sciences,MDPI Basel,FALSE,1422-0067,NA,1077,1.094,106733 - 10670 - 10.03.2021,31AC-0_203623,192674
Swiss National Science Foundation (SNSF),2021-03-10,1417.8062157221204,10.1016/j.ibneur.2020.11.001,IBRO Neuroscience Reports,Elsevier,FALSE,NA,NA,1551.08,1.094,106734 - 10674 - 10.03.2021,31AC-0_203627,160147
Swiss National Science Foundation (SNSF),2021-03-10,1453.7934186471664,10.1371/journal.pone.0248066,PLOS One,Public Library of Science,FALSE,NA,NA,1590.45,1.094,106727 - 10850 - 10.03.2021,51AC-0_203595,182897
Swiss National Science Foundation (SNSF),2021-03-10,1453.7934186471664,10.1371/journal.pone.0248172,Plos One,,FALSE,NA,NA,1590.45,1.094,106730 - 10850 - 10.03.2021,P3AC-1_203612,164598
Swiss National Science Foundation (SNSF),2021-03-10,2725.027422303473,10.3389/fnhum.2021.613125,Frontiers in Human Neuroscience,,FALSE,1662-5161,NA,2981.18,1.094,106729 - 10239 - 10.03.2021,32AC-0_203609,"176222, 156029"
Swiss National Science Foundation (SNSF),2021-03-10,2725.027422303473,10.3389/fnins.2021.564098,Frontiers in Neuroscience-Sleep and Circadian Rhythms,Frontiers Media SA,FALSE,NA,NA,2981.18,1.094,106732 - 10239 - 10.03.2021,32AC-0_203622,176323
Swiss National Science Foundation (SNSF),2021-03-10,3430.786106032907,10.1021/jacsau.1c00021,JACS Au,American Chemical Society,FALSE,NA,NA,3753.28,1.094,106731 - 10815 - 10.03.2021,20AC-1_203621,"183495, 169134"
Swiss National Science Foundation (SNSF),2021-03-09,623.4003656307129,10.5194/acp-21-657-2021,Atmospheric Chemistry and Physics,,FALSE,1680-7324,NA,682,1.094,106699 - 10669 - 09.03.2021,20AC-1_203632,169620
Swiss National Science Foundation (SNSF),2021-03-09,1453.7934186471664,10.1371/journal.pone.0248562,Plos One,,FALSE,NA,NA,1590.45,1.094,106698 - 10850 - 09.03.2021,PPAC-1_203649,"183709, 150492"
Swiss National Science Foundation (SNSF),2021-03-09,1811.4076782449724,10.3390/ijerph18052452,International Journal of Environmental Research and Public Health,,FALSE,1660-4601,NA,1981.68,1.094,106693 - 10415 - 09.03.2021,10AC--_203633,183199
Swiss National Science Foundation (SNSF),2021-03-09,1867.3948811700182,10.1101/2020.05.26.114769,Scientific Reports,,FALSE,2045-2322,NA,2042.93,1.094,106694 - 10859 - 09.03.2021,32AC-0_203631,163058
Swiss National Science Foundation (SNSF),2021-03-09,2144.2413162705666,NA,PLoS Genetics,Public Library of Science,NA,NA,NA,2345.8,1.094,106696 - 10850 - 09.03.2021,31AC-0_203651,184671
Swiss National Science Foundation (SNSF),2021-03-09,3280.685557586837,10.5194/egusphere-egu21-5336,Sciences Advances,,FALSE,NA,NA,3589.07,1.094,106695 - 10815 - 09.03.2021,PPAC-2_203655,170687
Swiss National Science Foundation (SNSF),2021-03-09,3859.6343692870196,NA,Science Advances,AAAS,NA,NA,NA,4222.44,1.094,106697 - 10815 - 09.03.2021,CRAC-5_203650,170981
Swiss National Science Foundation (SNSF),2021-03-08,1737.9981718464348,10.5194/esurf-9-1-2021,Earth Surface Dynamics,Copernicus Publications,FALSE,NA,NA,1901.37,1.094,106677 - 10754 - 08.03.2021,20AC-1_203648,165446
Swiss National Science Foundation (SNSF),2021-03-08,2300.109689213894,NA,Frontiers in Medicine,Frontiers Media S.A.,NA,NA,NA,2516.32,1.094,106676 - 10239 - 08.03.2021,40AC-0_203644,180205
Swiss National Science Foundation (SNSF),2021-03-05,746.0694698354662,10.1039/d0ra09319j,RSC Advances,RSC,FALSE,NA,NA,816.2,1.094,106664 - 10853 - 05.03.2021,20AC-1_202516,182000
Swiss National Science Foundation (SNSF),2021-03-05,1329.0219378427787,10.3390/biom11020139,Biomolecules,"MDPI Open Access Journals, Basel",FALSE,2218-273X,NA,1453.95,1.094,106667 - 10415 - 05.03.2021,31AC-0_202514,184947
